time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-19T19:18:36.960Z,28.1757,92.6876,40.92,4.1,mb,,104,2.046,0.59,us,us10007u64,2017-01-20T00:19:24.040Z,"82km ENE of Xoixar, China",earthquake,8.1,11.1,0.127,17,reviewed,us,us
2017-01-19T19:15:20.993Z,61.1494,-151.1501,63,1.5,ml,,,,0.74,ak,ak15104188,2017-01-19T19:23:26.775Z,"51km N of Nikiski, Alaska",earthquake,,1.4,,,automatic,ak,ak
2017-01-19T18:25:53.830Z,46.5648333,-110.797,-2.98,1.81,ml,14,117,0.504,0.25,mb,mb80197234,2017-01-19T22:24:11.590Z,"8km ENE of White Sulphur Springs, Montana",earthquake,0.8,3.62,0.149,3,reviewed,mb,mb
2017-01-19T17:57:38.275Z,62.7159,-149.4792,58.2,1.8,ml,,,,0.61,ak,ak15103589,2017-01-19T18:07:51.357Z,"54km NE of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-19T17:02:11.746Z,38.3996,-118.9182,4.7,1,ml,9,160.48,0.353,0.1515,nn,nn00574655,2017-01-19T18:39:50.889Z,"29km WSW of Hawthorne, Nevada",earthquake,,10,0.07,2,reviewed,nn,nn
2017-01-19T16:56:51.900Z,18.6397,-66.2471,64,3.1,Md,5,226.8,0.56144705,0.1,pr,pr17019003,2017-01-19T19:51:24.672Z,"20km N of Dorado, Puerto Rico",earthquake,1.6,2.2,0,3,reviewed,pr,pr
2017-01-19T16:39:54.464Z,38.3983,-118.8852,14.9,1.1,ml,8,155.16,0.333,0.1407,nn,nn00574711,2017-01-19T22:17:34.961Z,"26km WSW of Hawthorne, Nevada",earthquake,,6.8,0.21,3,reviewed,nn,nn
2017-01-19T16:37:02.906Z,38.3998,-118.8852,14.8,1,ml,5,286.73,0.333,0.0788,nn,nn00574710,2017-01-19T22:11:22.131Z,"26km WSW of Hawthorne, Nevada",earthquake,,10.2,0.09,2,reviewed,nn,nn
2017-01-19T16:34:26.407Z,38.3974,-118.9286,9.6,1.6,ml,10,145.02,0.363,0.1317,nn,nn00574650,2017-01-19T17:12:14.192Z,"30km WSW of Hawthorne, Nevada",earthquake,,2.5,0.15,4,reviewed,nn,nn
2017-01-19T16:28:09.221Z,38.3833,-118.9283,7,1.4,ml,11,70.1,0.358,0.1869,nn,nn00574648,2017-01-19T18:21:17.025Z,"30km WSW of Hawthorne, Nevada",earthquake,,2,0.16,2,reviewed,nn,nn
2017-01-19T16:23:53.018Z,62.1961,-151.0373,65.7,1.8,ml,,,,0.63,ak,ak15103584,2017-01-19T16:30:23.029Z,"50km WSW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-01-19T16:09:56.783Z,38.4247,-118.9046,8.3,1.5,ml,12,62.02,0.358,0.2071,nn,nn00574646,2017-01-19T17:59:38.195Z,"26km WSW of Hawthorne, Nevada",earthquake,,1.6,0.27,5,reviewed,nn,nn
2017-01-19T15:31:05.960Z,36.8673,-97.4485,5,2.5,mb_lg,,95,0.147,0.34,us,us10007u5d,2017-01-20T14:30:07.040Z,"16km WNW of Blackwell, Oklahoma",earthquake,1.1,1.6,0.111,21,reviewed,us,us
2017-01-19T14:48:13.559Z,38.3893,-118.8854,13.1,1.2,ml,7,169.39,0.329,0.1303,nn,nn00574643,2017-01-19T17:44:05.310Z,"27km WSW of Hawthorne, Nevada",earthquake,,6,0.2,2,reviewed,nn,nn
2017-01-19T14:44:29.827Z,38.4035,-118.924,8.2,1.8,ml,11,91.03,0.359,0.1176,nn,nn00574642,2017-01-19T17:31:42.449Z,"29km WSW of Hawthorne, Nevada",earthquake,,1.5,0.06,2,reviewed,nn,nn
2017-01-19T14:44:06.580Z,37.6081657,-122.4553299,8.23,1.29,md,7,111,0.03285,0.01,nc,nc72754030,2017-01-19T15:00:03.921Z,"2km ESE of Pacifica, California",earthquake,1.1,2.17,0.41,4,automatic,nc,nc
2017-01-19T14:43:15.277Z,38.4813,-118.3585,5.8,2.1,ml,17,68.74,0.049,0.1312,nn,nn00574641,2017-01-20T10:46:55.778Z,"23km ESE of Hawthorne, Nevada",earthquake,,1.9,0.31,12,reviewed,nn,nn
2017-01-19T14:38:46.713Z,62.1838,-148.0169,22.3,2.3,ml,,,,0.74,ak,ak15102982,2017-01-19T14:49:50.341Z,"61km NE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-19T14:33:46.647Z,38.4311,-118.8943,8.2,1.1,ml,7,199.96,0.352,0.2169,nn,nn00574640,2017-01-19T20:10:37.832Z,"25km WSW of Hawthorne, Nevada",earthquake,,3.6,0.12,2,reviewed,nn,nn
2017-01-19T13:58:46.620Z,33.9738333,-116.6585,15.35,1.44,ml,45,42,0.06512,0.18,ci,ci37571279,2017-01-19T14:39:42.190Z,"11km SW of Morongo Valley, CA",earthquake,0.24,0.61,0.135,27,reviewed,ci,ci
2017-01-19T13:56:07.070Z,61.3256,-153.8747,6.7,1.8,ml,,,,0.67,ak,ak15102976,2017-01-19T14:13:18.627Z,"111km NNW of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-19T13:41:43.200Z,18.374,-65.4486,108,3.2,Md,9,194.4,0.1706799,0.17,pr,pr17019002,2017-01-19T15:28:25.305Z,"17km WNW of Culebra, Puerto Rico",earthquake,2.9,0.9,0,6,reviewed,pr,pr
2017-01-19T13:21:32.328Z,38.3819,-118.9206,8.3,1.5,ml,13,111.45,0.337,0.1701,nn,nn00574639,2017-01-19T20:01:22.992Z,"30km WSW of Hawthorne, Nevada",earthquake,,2,0.08,4,reviewed,nn,nn
2017-01-19T13:02:31.330Z,37.1381667,-112.788,10.26,1.27,md,5,132,0.1244,0.07,uu,uu60182267,2017-01-19T19:40:37.170Z,"21km NE of Hildale, Utah",earthquake,0.63,1.84,0.409,3,reviewed,uu,uu
